>>> GraphicConverter ::: v11.2.2 - August 5, 2020 ::: https://www.lemkesoft.de/en/products/graphicconverter/
>>> Formats: https://www.lemkesoft.de/en/products/graphicconverter/key-features/import-and-export-formats/
>>> JS Code to rip formats: Array.from(document.querySelectorAll("#c315 table tr")).map(tr => Array.from(tr.querySelectorAll("td")).map(td => td.textContent.trim())).join("\n")
Format,Import,Export,Metadata *),Comment
IRIS,X,-,-,IRIS (.fep) format
ISS,X,-,-,-
j6i,X,-,-,Variant of the JPEG format.
JBI,X,-,-,Variant of the TIFF format
JEDMICS C4,X,-,-,Used by NASA
JIF,X,X,-,New format based on GIF.But it uses the zlib compression.
JNG,X,-,-,-
JPEG/JFIF,X,X,IPTC, EXIF, ICC, XMP, COM,Supports 24 bits per pixel or 256 grays.Uses lossy compression.Additional EXIF information (from digital cameras) is supported.
JPEG 2000,X,X,ICC,Supports 24 bits per pixel or 256 grays.Uses lossy compression.
JPF,X,X,-,Like gif but with zlib compression
JPX,X,-,-,JPEG variant
KDC,X 3),-,-,Format of the Kodak digital camera
Keynote PICT,X,-,-,Variant of the PICT format created by Keynote.
KISS CEL,X,X,-,-
Koala,X,-,-,C64 format
Kodak DCS,X,-,-,-
KoNTRoN,X,-,-,Format of the Kontron microscopeContains images that use 256 grays.
LDF,X,-,-,LuraDokument Format. In the UB version of GraphicConverter, LDF documents cannot be imported and exported as no SDKs are available. If necessary, use the X version of GraphicConverter under Rosetta.
Liberty IM,X,-,-,-
LIFF,X,-,-,-
LOGO,X,X,-,Nokia telephone logos
Lotus-PIC,X,-,-,1. Vector format of the Lotus spreadsheet application.
LuraDocument,X,-,-,Document management format
LWF (LuraWave),X,X 9),-,LuraWave wavelet compression technology
MacDraw I,X,-,-,MacDraw I format.
MacPaint,X,X,-,Black and white image with 576 x 720 pixels
MAG,X,-,-,MAKIchan graphic format
MAYA-IFF,X,-,-,Variant of the IFF format.
MBM (Psion 5),X,X,-,Images of the PSIoN serie 5
Meteosat 5,X,-,-,Format of the meteosat satellite.
MDC,X,-,-,Raw format of the Minolta RD-175 digital cameras.
Meteosat 5,X,-,-,Meteosat satellite format
MHT,X,-,-,web archive format; which can contain images
MonkeyLogo,X,X,-,MonkeyLogo PDB format.
MonkeyCard,X,X,-,MonkeyCard PDB format.
Mov,X,X,-,QuickTime movie file format
MPO,X,-,-,-
MP2,X,-,-,MP2 files can only be displayed if you purchase the MP2 add-on for QuickTime from www.apple.com.
MRC,X,-,-,Format of microscops.
MrSID,X 11),-,-,Highly compressed file format. This is a lot used at the US government.
MRW,X,-,-,see Photo Raw
MSP,X,-,-,1 bit images from Microsoft Paint (Windows 2.0).
MSX MSX2, MSX+ - MSX2+,X,-,-,-
NAA/IPTC,X,-,-,-
NASA Raster Metafile,X,-,-,Format (with or without multiple frames) from the NASA missions.
NEF,X,-,IPTC,see Photo Raw
NEO,X,-,-,Format of the ATARI application NeoChrome. Supports 320 x 200 pixel at 16 colors.
NGG/NCG,X,X,-,Format of Nokia mobile phones.
NIF,X,-,-,-
NIST PCT,X,-,-,-
Nokia .pict,X,-,-,Export via the .logo form
NoL,X,X,-,Format of Nokia mobile phones.
NV12,X,-,-,Format for single images of a Microsoft video format
ODF,X,-,-,Format for multipage documents
oNCoR,X,-,-,Supports 256 grays.
ORF,X,-,-,see Photo Raw
OTA,X,X,-,OTA bitmap format.
P ? ? Degas,X,-,-,Format of the ATARI application Degas320 x 200 pixel, 16 colors (*.PI1, *.PC1)640 x 200 pixel, 4 colors (*.PI2, *.PC2)640 x 400 pixel, 2 colors (*.PI3, *.PC3)
Palette,-,X,-,color table
Palm image stream,X,-,-,Format of the Palm organizer (.stream)
PAM,X,-,-,Open Source Format
