>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
Degas medium resolution picture (PI2)	image/x-pi2	pi2	Yes	No	Yes	No	No
Digital Imaging and Communications in Medicine (DICOM)	application/dicom, image/dicom-rle	dcm, dic	Yes	No	No	Yes	No
Digital Picture Exchange (DPX)	image/x-digital-picture-exchange	dpx	Yes	No	No	Yes	Yes
Direct Draw Surface	image/x-direct-draw-surface	dds	Yes	No	No	Yes	Yes
DjVu	image/vnd.djvu, image/vnd.djvu+multipage, image/x-djvu	djvu	Yes	No	No	No	No
Draz Paint	image/x-draz-paint	drp, drz	Yes	No	No	No	No
Dr Doodle		doo	No	No	Yes	No	No
Dune Image (AAI)	image/x-dune	aai	Yes	No	No	Yes	No
Extended Binary (XBIN)	image/x-xbin	xb	Yes	No	Yes	No	Yes
Face Painter	image/x-face-painter	fcp	Yes	No	No	No	No
Farbfeld	image/x-farbfeld	ff	Yes	No	No	No	No
FlashPix Format (FPX)	image/vnd.fpx	fpx	No	No	No	Yes	Yes
Flexible Image Transport System (FITS)	application/fits, image/fits	fit, fits, fts	No	No	No	Yes	No
Free Lossless Image Format (FLIF)	image/x-flif	flif	Yes	No	No	Yes	No
GEM raster	image/x-gem	img, ximg	Yes	No	Yes	No	No
GFA Artist	image/x-gfa-artist	art	Yes	No	No	No	No
Gimp Bitmap (XCF)	image/x-xcf, image/xcf	xcf	Yes	No	No	Yes	No
Graphics Processor			No	No	No	No	No
Graphics Processor high resolution			No	No	No	No	No
Graphics Processor low resolution			No	No	No	No	No
Graphics Processor medium resolution			No	No	No	No	No
Haiku Vector Icon Format (HVIF)	image/x-hvif		Yes	No	No	No	No
Hi-Eddi	image/x-hi-eddi	hed	Yes	No	No	No	No
Hierarchical Data Format (HDF)	application/x-hdf		No	No	No	No	No
HDF4	application/x-hdf	hdf	No	No	No	No	No
HDF5	application/x-hdf	h5	No	No	No	No	No
High Efficiency Image File Format (HEIF)	image/heic, image/heic-sequence, image/heif, image/heif-sequence	heic	Yes	Using third party loader	No	Yes	No
iCEDraw Format (IDF)	image/x-icedraw	idf	Yes	No	No	No	No
ImageLab	image/x-imagelab	b&w, b_w	Yes	No	No	No	No
Interleaved Bitmap (ILBM)	image/x-ilbm	bbm, blk, iff, ilbm, lbm, pic	Yes	No	Yes	Yes	Yes
JBIG	image/x-jbig	bie, jbe, jbig	No	No	No	Yes	Yes
Joint Photographic Experts Group JFIF format (JPEG / JFIF)	image/jpeg	jif, jpe, jpeg, jpg	Yes	Yes	No	Yes	Yes
JPEG-2000	image/jpeg2000	jp2	Yes	Yes	Yes	Yes	Yes
JPEG 2000 base still image (JP2)	image/jp2	j2c, j2k, jp2	Yes	Yes	Yes	Yes	Yes
Jpeg Network Graphics (JNG)	image/x-jng	jng	Yes	No	No	Yes	No
Khoros Visualization Image file (VIFF)	image/x-viff	viff, xv	Yes	No	No	Yes	No
Kisekae Set System Cel (KiSS Cel)	image/x-kiss-cel	cel, kcf	Yes	No	No	No	No
Koala Painter	image/x-koa, image/x-koala	gig, kla, koa	Yes	No	No	No	No
Kodak Cineon	image/x-cineon	cin	Yes	No	No	Yes	No
Kodak Photo CD	image/x-photo-cd	pcd	Yes	No	No	Yes	No
Krita image	application/x-krita	kra	Yes	No	Yes	No	No
Lottie		json	Yes	No	No	No	No
Macintosh Quickdraw/Pict	image/pict, image/x-pict	pct, pic, pict	No	No	Yes	No	No
MacPaint	image/x-macpaint	mac, pic, pntg	No	No	Yes	Yes	No
Magick Image File Format (MIFF)	image/x-miff	mif, miff	Yes	No	No	Yes	No
MTV Ray-Tracer	image/x-mtv	mtv, pic	Yes	No	No	Yes	No
Multi-page PCX (DCX)	image/x-dcx	dcx	Yes	No	No	Yes	No
Multi Palette Picture (MPP)	image/x-multi-palette-picture	mpp	Yes	No	No	No	No
Multiple Network Graphics (MNG)	video/x-mng	mng	Yes	No	No	Yes	Yes
Neochrome	image/x-neo, image/x-neochrome	neo	Yes	No	Yes	No	No
Nokia Over the Air bitmap (OTA)		otb	No	No	No	Yes	No
OpenEXR (EXR)	image/x-exr	exr	Yes	No	No	Yes	Yes
OpenRaster	image/openraster	ora	Yes	No	Yes	No	No
Pablo Packed Picture (PPP)	image/x-pablo-packed-picture		Yes	No	No	No	No
Paintworks file format			No	No	No	No	No
Paintworks screen in high resolution			No	No	No	No	No
Paintworks screen in low resolution			No	No	No	No	No
Paintworks screen in medium resolution			No	No	No	No	No
Palm Database ImageViewer format		pdb	No	No	No	Yes	No
PC-Board	text/x-pcboard	pcb	Yes	No	Yes	No	No
PETSCII screen code sequence	text/x-petscii-sequence	seq	Yes	No	No	No	No
PhotoChrome			No	No	No	No	No
PhotoChrome PCS-ST			No	No	No	No	No
PhotoChrome Super HAM			No	No	No	No	No
Picasso 64	image/x-picasso-64	p64	Yes	No	No	No	No
Portable Anymap (PNM)	image/x-portable-anymap	pnm	Yes	Yes	Yes	Yes	Yes
Portable Bitmap	image/x-portable-bitmap	pbm	Yes	Yes	Yes	Yes	Yes
Portable Greyscale	image/x-portable-graymap, image/x-portable-greymap	pgm	Yes	Yes	Yes	Yes	Yes
Portable Pixmap	image/x-portable-pixmap	ppm	Yes	Yes	Yes	Yes	Yes
Portable Arbitrary Map	image/x-portable-arbitrarymap	pam	Yes	No	Yes	Yes	Yes
Portable Document Format (PDF)	application/pdf, application/x-pdf	pdf	Yes	No	No	Yes	No
Portable Float Map (PFM)	image/x-portable-floatmap	pfm	Yes	No	No	Yes	No
Portable Network Graphics (PNG)	image/png	png	Yes	Yes	No	Yes	Yes
Animated PNG (APNG)	image/apng, image/vnd.mozilla.apng	png	Yes	No	No	No	No
Postscript (PS)	application/postscript	ps	Yes	No	No	No	No
Prism Paint	image/x-prism-paint	pnt	Yes	No	No	No	No
Quantum Paint	image/x-quantum-paint	pbx	Yes	No	No	No	No
QuickTime Image Format (QTIF)	image/qtif, image/x-quicktime	qif, qtif	Lacks support for some compression schemes	Lacks support for most compression schemes	Lacks support for most compression schemes	No	Partial
QuickTime Image Format - Animation	image/qtif, image/x-quicktime	qif, qtif	Yes	No	No	No	No
QuickTime Image Format - Apple Pixlet	image/qtif, image/x-quicktime	qif, qtif	No	No	No	No	No
QuickTime Image Format - DV/PVCPRO NTSC	image/qtif, image/x-quicktime	qif, qtif	Yes	No	No	No	Yes
QuickTime Image Format - DVCPRO50 NTSC	image/qtif, image/x-quicktime	qif, qtif	Yes	No	No	No	Yes
QuickTime Image Format - DVCPRO50 PAL	image/qtif, image/x-quicktime	qif, qtif	Yes	No	No	No	Yes
QuickTime Image Format - DVCPRO PAL	image/qtif, image/x-quicktime	qif, qtif	Yes	No	No	No	Yes
QuickTime Image Format - DV PAL	image/qtif, image/x-quicktime	qif, qtif	Yes	No	No	No	Yes
QuickTime Image Format - H.263	image/qtif, image/x-quicktime	qif, qtif	Yes	No	No	No	Yes
QuickTime Image Format - H.264	image/qtif, image/x-quicktime	qif, qtif	No	No	No	No	No
QuickTime Image Format - JPEG	image/qtif, image/x-quicktime	qif, qtif	Yes	Yes	Yes	No	No
QuickTime Image Format - JPEG 2000	image/qtif, image/x-quicktime	qif, qtif	Yes	No	No	No	No
